Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Zaunkoenig M2K,2021,5.4,9.3,5.9,9.3,Zaunkoenig,Matte,79.0,59.5,29.4,56.0,True Ambidextrous,Yes,No,23.06,Front-heavy,Wired,No Batteries,Wired,1.64,Virgin Grade PTFE,Mechanical,Omron D2F-01F,3,0,No,Notched Wheel,No,No
Keychron M4,2023,7.2,9.2,7.8,9.3,Keychron,Matte,86.0,53.6,32.0,52.0,Shape Only,Yes,No,37.5,Back-heavy,2,Rechargeable,Wireless,1.77,PTFE,Mechanical,Huano 80M Micro Switch,7,2,No,Notched Wheel,Yes,Yes
G-Wolves HSK Pro 4K,2023,6.7,9.3,7.6,9.4,G-Wolves,Matte,73.5,55.9,29.1,52.0,Shape Only,Yes,No,27.24,Centered,1,Rechargeable,Wireless,1.6,PTFE,Mechanical,ZIPPY DF3-P1L1,5,2,No,Notched Wheel,Yes,No
G-Wolves Fenrir Max,2025,6.9,8.3,6.8,8.6,G-Wolves,Matte,74.0,60.6,31.0,60.0,Shape Only,Yes,No,24.6,Centered,1,Rechargeable,Wireless,1.3,Virgin Grade PTFE,Mechanical,Huano Transparent Blue Shell Pink Dot,5,2,No,Notched Wheel,Yes,Yes
Logitech MX Master 4,2025,9.1,7.4,7.7,6.7,Logitech,Matte,129.8,88.0,51.0,61.0,No,No,Thumb,151.8,Centered,3,Rechargeable,Wireless,,PTFE,Mechanical,Not Specified,9,4,No,Notched Wheel + Free Wheel,Yes,Yes
Logitech G PRO X SUPERLIGHT 2c,2025,7.2,9.5,8.1,9.7,Logitech,Matte,118.0,61.0,38.6,59.0,No,Yes,No,50.38,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,LIGHTFORCE,5,2,Yes,Notched Wheel,Yes,Yes
Logitech M720 Triathlon,2016,8.3,7.1,7.5,6.3,Logitech,Matte,110.0,75.0,44.0,60.0,No,No,Thumb,134.81,Centered,3,1x AA,Wireless,,PTFE,Mechanical,Not Specified,10,4,No,Notched Wheel + Free Wheel,Yes,Yes
Keychron M6,2023,8.8,8.1,7.8,8.5,Keychron,Matte,122.5,75.3,50.8,56.0,No,No,Thumb,78.18,Centered,4,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Mechanical,Huano 80M Micro Switch,8,2,No,Notched Wheel + Free Wheel,Yes,Yes
Razer Basilisk V3 Pro,2022,8.6,8.5,8.8,9.4,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,112.98,Front-heavy,2,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,11,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
VXE R1 Pro,2024,7.1,9.3,7.8,9.5,VXE,Matte,120.0,65.0,38.0,58.0,Shape Only,Yes,No,48.77,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Huano Ice Berry Pink Dot,6,2,No,Notched Wheel,Yes,Yes
MCHOSE L7 Ultra,2024,7.0,9.5,7.7,9.9,MCHOSE,Matte,115.0,61.0,37.0,59.0,Shape Only,Yes,No,45.89,Centered,2,Rechargeable,Wireless,1.8,PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,Yes
Pulsar X2V2,2023,7.2,9.2,7.9,9.4,Pulsar,Matte,120.3,63.3,37.6,60.0,Shape Only,Yes,No,54.18,Centered,1,Rechargeable,Wireless,1.87,Virgin Grade PTFE,Optical,RAESHA Optical Switch,6,2,Yes,Notched Wheel,Yes,No
Endgame Gear OP1 8k v2,2025,6.4,9.6,7.9,9.8,Endgame Gear,Matte,118.0,61.0,37.0,56.0,Shape Only,Yes,No,46.57,Centered,Wired,No Batteries,Wired,1.8,Virgin Grade PTFE,Mechanical,Kailh GX,6,2,No,Notched Wheel,Yes,No
Logitech G705,2022,7.3,8.6,8.0,9.2,Logitech,Matte,105.9,64.8,39.7,61.0,No,No,Thumb,85.44,Centered,2,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Mechanical,Not Specified,7,2,Yes,Notched Wheel,Yes,Yes
SteelSeries Aerox 3 Wireless (2022),2021,7.5,8.3,7.7,,SteelSeries,Matte,120.4,67.0,38.0,60.0,Shape Only,Yes,No,68.05,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
Razer Cobra Pro,2023,7.4,9.0,8.2,9.6,Razer,Matte,119.8,62.5,38.0,60.0,Shape Only,Yes,No,76.65,Back-heavy,2,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,8,2,Yes,Notched Wheel,Yes,Yes
SteelSeries Rival 3 Wireless Gen 2,2025,7.4,8.4,8.0,9.1,SteelSeries,Matte,121.0,67.0,38.0,60.0,Shape Only,Yes,No,111.6,Back-heavy,2,2x AAA,Wireless,,Virgin Grade PTFE,Mechanical,Not Specified,6,2,Yes,Notched Wheel,Yes,Yes
Logitech G203 LIGHTSYNC,2020,6.4,8.7,7.9,9.5,Logitech,Matte,116.7,63.7,37.7,60.0,Shape Only,Yes,No,84.58,Centered,Wired,No Batteries,Wired,2.1,PTFE,Mechanical,Not Specified,6,2,No,Notched Wheel,Yes,Yes
SteelSeries Aerox 3 (2022),2021,6.9,8.3,7.7,,SteelSeries,Matte,120.4,67.0,38.0,60.0,Yes,No,No,87.4,Centered,,No Batteries,Wired,1.8,Virgin Grade PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
MCHOSE L7 Pro,2024,7.0,9.3,7.7,9.6,MCHOSE,Matte,115.0,60.7,36.5,59.0,Shape Only,Yes,No,40.69,Centered,2,Rechargeable,Wireless,1.8,PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,No
SteelSeries Rival 3 Gen 2,2025,6.5,8.7,7.9,9.1,SteelSeries,Matte,121.0,67.0,38.0,60.0,Shape Only,Yes,No,77.58,Centered,Wired,No Batteries,Wired,1.8,Virgin Grade PTFE,Mechanical,Not Specified,6,2,Yes,Notched Wheel,Yes,Yes
Vaxee XE Wireless,2023,6.2,8.9,6.7,9.6,Vaxee,Matte,125.0,66.0,39.0,61.0,Shape Only,Yes,No,76.26,Centered,1,Rechargeable,Wireless,2.0,Virgin Grade PTFE,Mechanical,Huano 70g,9,2,No,Notched Wheel,No,No
Vaxee XE v2 Wireless (4K),2025,7.2,9.4,7.9,9.7,Vaxee,Matte,125.0,66.0,39.0,61.0,Shape Only,Yes,No,59.7,Centered,1,Rechargeable,Wireless,2.0,Virgin Grade PTFE,Mechanical,Huano Transparent Blue Shell Pink Dot,6,2,No,Notched Wheel,Yes,Yes
Hitscan Hyperlight,2024,7.1,9.5,7.9,9.7,Hitscan,Matte,118.0,61.5,38.5,60.0,Shape Only,No,No,41.62,Centered,1,Rechargeable,Wireless,1.6,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,No
Razer Pro Click V2,2025,8.5,8.6,8.4,9.5,Razer,Matte,126.0,80.0,45.0,62.0,No,No,Thumb,106.72,Centered,4,Rechargeable,Wireless,1.2,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel + Free Wheel,Yes,Yes
Scyrox V8,2024,7.0,9.6,7.8,9.7,Scyrox,Matte,118.0,63.0,38.0,61.0,Shape Only,No,No,40.15,Centered,1,Rechargeable,Wireless,1.88,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,Yes
Pulsar X2H v3,2024,7.1,9.0,7.7,9,Pulsar,Matte,120.0,65.0,38.6,60.0,Shape Only,Yes,No,53.18,Centered,1,Rechargeable,Wireless,1.78,Virgin Grade PTFE,Optical,RAESHA Optical Switch,6,2,No,Notched Wheel,Yes,No
Pulsar TenZ Signature Edition,2025,7.2,9.4,8.0,9.6,Pulsar,Matte,120.0,64.5,40.0,55.7,Shape Only,Yes,No,47.8,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Pulsar Optical Switch,6,2,Yes,Notched Wheel,Yes,No
Razer Cobra HyperSpeed,2025,7.6,9.3,8.4,9.6,Razer,Matte,120.0,63.0,38.0,60.0,Shape Only,Yes,No,61.69,Centered,2,Rechargeable,Wireless,1.3,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 4,7,2,Yes,Notched Wheel,Yes,Yes
Razer Basilisk V3 Pro 35K,2024,8.6,8.4,8.7,9.3,Razer,Matte,129.9,75.4,42.3,62.0,No,No,Thumb,113.31,Front-heavy,2,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,11,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
Razer Pro Click V2 Vertical,2025,7.6,8.5,8.2,9.5,Razer,Matte,105.0,85.0,79.0,68.0,No,No,Thumb and Pinky,150.0,Back-heavy,4,Rechargeable,Wireless,1.2,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel,Yes,Yes
Razer Pro Click,2020,7.9,8.2,8.3,,Razer,Matte,127.0,80.0,49.0,62.0,No,No,Thumb,108.81,Front-heavy,2,Rechargeable,Wireless,1.87,PTFE,,,8,2,Yes,Notched Wheel,Yes,No
Pulsar X2,2022,7.2,9.0,7.8,9.3,Pulsar,Matte,120.3,63.3,37.9,60.0,Shape Only,Yes,No,55.57,Centered,1,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Mechanical,Kailh GM 8.0,6,2,Yes,Notched Wheel,Yes,No
VGN Dragonfly F1 Pro Max,2023,7.1,9.0,7.7,9.2,VGN,Matte,121.4,63.5,37.8,60.0,Shape Only,Yes,No,54.8,Centered,1,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Mechanical,Kailh GM8.0 Black Gold Mamba,6,2,No,Notched Wheel,Yes,No
Razer Viper V3 Pro,2024,7.3,9.5,8.3,9.8,Razer,Matte,127.0,64.0,40.0,63.0,Shape Only,Yes,No,53.78,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,6,2,Yes,Notched Wheel,Yes,Yes
Ninjutso Sora V2,2024,7.1,9.4,7.7,9.5,Ninjutso,Matte,119.8,63.1,37.8,61.0,Shape Only,Yes,No,40.87,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron D2FP-FN2,5,2,No,Notched Wheel,Yes,Yes
Pulsar X2 CrazyLight,2025,7.2,9.5,8.0,9.7,Pulsar,Matte,115.0,61.0,37.0,59.0,Shape Only,Yes,No,38.29,Centered,1,Rechargeable,Wireless,2.8,Virgin Grade PTFE,Optical,Pulsar Optical Switch,6,2,Yes,Notched Wheel,Yes,No
Scyrox V6,2024,7.1,9.6,7.9,9.8,Scyrox,Matte,119.3,61.4,40.3,59.0,Shape Only,Yes,No,43.78,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Omron Opticals,6,2,No,Notched Wheel,Yes,Yes
BenQ ZOWIE EC2-DW,2025,6.5,8.9,6.7,9.3,BenQ,Matte,123.0,66.0,42.0,60.0,No,No,No,59.69,Centered,2,Rechargeable,Wireless,2.1,Virgin Grade PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel,No,No
LAMZU Atlantis,2022,7.0,8.6,7.6,8.8,LAMZU,Matte,123.4,65.6,38.1,59.0,Shape Only,Yes,No,55.54,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Huano Blue Shell Pink Dot,6,2,Yes,Notched Wheel,Yes,No
Vaxee XE-S Wireless (4K),2024,7.2,9.3,7.9,9.6,Vaxee,Matte,120.8,64.3,36.5,60.0,Shape Only,Left-Handed Version Available,No,60.76,Centered,1,Rechargeable,Wireless,2.08,Virgin Grade PTFE,Mechanical,Huano Black Shell Pink Dot,7,2,No,Notched Wheel,Yes,Yes
LAMZU THORN,2023,6.9,9.1,7.7,9.5,LAMZU,Matte,119.0,65.0,42.0,58.0,No,No,No,51.89,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Not Specified,6,2,Yes,Notched Wheel,Yes,No
Logitech G PRO X SUPERLIGHT 2 DEX,2024,7.2,9.4,8.1,9.7,Logitech,Matte,125.9,67.2,43.6,61.0,No,No,No,58.4,Centered,1,Rechargeable,Wireless,1.9,Virgin Grade PTFE,Optical,LIGHTFORCE,5,2,Yes,Notched Wheel,Yes,Yes
Razer DeathAdder V4 Pro,2025,7.3,9.4,8.2,9.7,Razer,Matte,127.0,67.0,43.0,63.0,No,No,No,56.1,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 4,6,2,Yes,Notched Wheel,Yes,Yes
HyperX Pulsefire Saga Pro,2025,7.3,8.7,7.5,9.3,HyperX,Matte,120.0,66.0,40.0,62.0,No,No,No,72.71,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,HyperX Optical Switches,6,2,No,Notched Wheel,Yes,No
Razer Naga Trinity,2018,6.8,8.3,9.2,9.4,Razer,Matte,120.0,72.0,43.0,68.0,No,No,Pinky,119.38,Centered,Wired,No Batteries,Wired,2.13,PTFE,Mechanical,Omron D2FC-F-K(50M),20,12,Yes,Notched Wheel,Yes,No
Logitech MX Master 2S,2017,9.0,7.2,7.3,6.5,Logitech,Matte,126.0,86.0,49.0,62.0,No,No,Thumb,149.84,Centered,3,Rechargeable,Wireless,1.22,PTFE,Mechanical,Not Specified,8,3,No,Notched Wheel + Free Wheel,Yes,Yes
Logitech MX Vertical,2018,7.3,7.3,7.1,6.6,Logitech,Matte,120.0,78.0,79.0,53.0,No,No,Thumb,127.49,Front-heavy,3,Rechargeable,Wireless,1.32,PTFE,Mechanical,Not Specified,7,3,No,Notched Wheel,Yes,Yes
Apple Magic Mouse 2,2015,5.8,5.7,3.9,4.3,Apple,Glossy,114.0,57.0,21.0,56.0,True Ambidextrous,Yes,No,98.79,Centered,1,Rechargeable,Wireless,1.0,Plastic,Mechanical,Not Specified,1,0,No,Tactile Surface,No,No
Microsoft Arc Mouse,2011,5.5,6.5,4.6,5.5,Microsoft,Matte,112.0,55.0,32.0,55.0,True Ambidextrous,Yes,No,85.73,Front-heavy,1,2x AAA,Wireless,,Plastic,Mechanical,Not Specified,2,0,No,Tactile Surface,Yes,No
Logitech G502 HERO,2019,7.6,7.8,8.5,8.7,Logitech,Matte,130.0,76.0,42.0,63.0,No,No,Thumb,120.72,Centered,Wired,No Batteries,Wired,2.03,PTFE,Mechanical,Omron D2FC-F-K,12,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
Logitech G903 LIGHTSPEED,2017,8.2,8.2,8.6,9.3,Logitech,Matte,130.0,65.0,40.0,61.0,True Ambidextrous,Yes,No,110.98,Front-heavy,1,Rechargeable,Wireless,1.86,PTFE,Mechanical,Not Specified,13,4,Yes,Notched Wheel + Free Wheel,Yes,Yes
Logitech G Pro Wireless,2018,7.4,8.5,8.2,9.1,Logitech,Matte,126.0,63.0,40.0,61.0,True Ambidextrous,Yes,No,80.09,Back-heavy,1,Rechargeable,Wireless,1.86,PTFE,Mechanical,Omron D2FC-F-7N,8,4,Yes,Notched Wheel,Yes,Yes
GLORIOUS Model O,2019,5.8,8.7,7.4,9.1,GLORIOUS,Glossy,129.0,67.0,38.0,61.0,Shape Only,Yes,No,66.91,Centered,Wired,No Batteries,Wired,1.95,Virgin Grade PTFE,Mechanical,Omron D2FC-F-7N(20M)(OF),6,2,No,Notched Wheel,Yes,No
Logitech G305 LIGHTSPEED,2018,7.0,8.4,7.8,9.1,Logitech,Matte,116.0,63.0,38.0,61.0,Shape Only,Yes,No,101.72,Back-heavy,1,1x AA,Wireless,,PTFE,Mechanical,Omron D2FC-F-7N,6,2,Yes,Notched Wheel,Yes,Yes
Logitech MX Master 3,2019,9.0,7.5,7.4,6.9,Logitech,Matte,126.0,84.0,52.0,58.0,No,No,Thumb,142.29,Centered,3,Rechargeable,Wireless,1.34,PTFE,Mechanical,Not Specified,8,3,No,Notched Wheel + Free Wheel,Yes,Yes
Razer Viper Ultimate,2019,6.8,8.8,8.3,9.3,Razer,Matte,127.0,66.0,38.0,62.0,True Ambidextrous,Yes,No,74.92,Centered,1,Rechargeable,Wireless,1.83,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 3,8,4,Yes,Notched Wheel,Yes,No
Logitech G604 LIGHTSPEED,2019,8.5,7.7,8.5,8.7,Logitech,Matte,129.0,79.0,45.0,61.0,No,No,Thumb,141.06,Centered,2,1x AA,Wireless,,PTFE,Mechanical,Not Specified,15,6,Yes,Notched Wheel + Free Wheel,Yes,Yes
Logitech G600 MMO Gaming,2012,6.9,8.1,9.2,9.1,Logitech,Matte,116.0,75.0,42.0,72.0,No,No,No,133.46,Centered,Wired,No Batteries,Wired,1.95,PTFE,Mechanical,Omron D2FC-F-7N(20M),20,12,Yes,Notched Wheel,Yes,Yes
Razer Basilisk Ultimate,2019,7.7,8.1,8.5,9,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,106.2,Front-heavy,1,Rechargeable,Wireless,1.83,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,11,3,Yes,Notched Wheel + Free Wheel,Yes,No
Razer Basilisk X Hyperspeed,2020,6.9,8.2,7.8,9,Razer,Matte,130.0,75.0,42.0,62.0,No,No,Thumb,111.02,Centered,2,1x AA,Wireless,,PTFE,Mechanical,Razer Mechanical Mouse Switch Gen 2,6,2,Yes,Notched Wheel,Yes,No
Logitech M510,2010,6.5,6.6,6.6,5.9,Logitech,Matte,126.0,70.0,46.0,60.0,Shape Only,No,Thumb,140.3,Back-heavy,1,2x AA,Wireless,,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel,Yes,Yes
Razer DeathAdder V2,2020,6.0,8.9,8.2,9.5,Razer,Matte,127.0,70.0,43.0,65.0,No,No,No,79.91,Centered,Wired,No Batteries,Wired,2.15,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,8,2,Yes,Notched Wheel,Yes,No
Logitech Pebble M350,2019,5.9,7.5,4.7,6.4,Logitech,Matte,107.0,59.0,26.0,57.0,True Ambidextrous,Yes,No,81.61,Back-heavy,2,1x AA,Wireless,,Plastic,Mechanical,Not Specified,4,0,No,Notched Wheel,No,No
Logitech G502 LIGHTSPEED,2019,8.3,8.1,8.6,9.2,Logitech,Matte,130.0,74.0,41.0,63.0,No,No,Thumb,115.06,Centered,1,Rechargeable,Wireless,1.87,PTFE,Mechanical,Not Specified,12,3,Yes,Notched Wheel + Free Wheel,Yes,Yes
Razer Viper Mini,2020,6.1,8.9,7.9,9.1,Razer,Matte,117.0,61.0,39.0,60.0,Shape Only,Yes,No,58.74,Centered,Wired,No Batteries,Wired,1.86,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,6,2,Yes,Notched Wheel,Yes,No
Logitech G703 LIGHTSPEED with HERO Sensor,2019,7.2,8.3,7.9,9.1,Logitech,Matte,125.0,65.0,43.0,62.0,No,No,No,105.32,Centered,1,Rechargeable,Wireless,1.9,PTFE,Mechanical,Not Specified,6,2,Yes,Notched Wheel,Yes,Yes
Corsair DARK CORE RGB PRO,2018,7.5,8.4,8.1,9.6,Corsair,Matte,127.0,81.0,43.0,54.0,No,No,Thumb and Pinky,132.14,Centered,2,Rechargeable,Wireless,1.8,PTFE,Mechanical,Omron D2FC-F-K,8,2,Yes,Notched Wheel,Yes,Yes
Logitech MX ERGO,2017,7.4,5.9,7.3,5.7,Logitech,Matte,133.0,100.0,60.0,62.0,No,No,Pinky,261.93,Centered,2,Rechargeable,Wireless,1.29,Plastic,Mechanical,Not Specified,9,1,No,Notched Wheel,Yes,Yes
Razer Naga Pro,2020,7.9,8.5,9.2,9.4,Razer,Matte,119.0,72.0,43.0,68.0,No,No,Pinky,116.72,Centered,2,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,20,12,Yes,Notched Wheel,Yes,No
Razer DeathAdder V2 Pro,2020,7.4,8.6,8.1,9.3,Razer,Matte,128.0,70.0,43.0,65.0,No,No,No,88.03,Centered,2,Rechargeable,Wireless,1.85,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,8,2,Yes,Notched Wheel,Yes,No
GLORIOUS Model O Wireless,2020,7.2,8.7,7.8,9,GLORIOUS,Matte,128.0,67.0,38.0,60.0,Shape Only,Yes,No,69.55,Centered,1,Rechargeable,Wireless,2.0,Virgin Grade PTFE,Mechanical,Omron D2FC-F-7N(20M)(OF),6,2,Yes,Notched Wheel,Yes,No
Cooler Master MM720,2020,5.6,8.8,7.7,9.2,Cooler Master,Glossy,105.0,76.5,37.5,61.0,No,No,No,52.24,Centered,Wired,No Batteries,Wired,1.8,Virgin Grade PTFE,Optical,LK Optical Micro Switch 70M,6,2,Yes,Notched Wheel,Yes,No
Logitech MX Anywhere 3,2020,8.0,7.2,6.8,6.5,Logitech,Matte,100.0,64.5,34.1,55.0,Shape Only,Yes,No,95.49,Centered,3,Rechargeable,Wireless,1.04,PTFE,Mechanical,Not Specified,7,2,No,Notched Wheel + Free Wheel,Yes,Yes
Logitech G PRO X SUPERLIGHT,2020,7.2,9.3,8.0,9.5,Logitech,Matte,126.0,63.0,40.0,61.0,Shape Only,Yes,No,61.12,Centered,1,Rechargeable,Wireless,1.8,Virgin Grade PTFE,Mechanical,Omron D2FC-F-7N (G1),5,2,Yes,Notched Wheel,Yes,Yes
HyperX Pulsefire Haste,2020,6.4,8.6,7.4,8.9,HyperX,Matte,124.4,66.9,38.1,62.0,Shape Only,Yes,No,59.68,Centered,Wired,No Batteries,Wired,1.9,Virgin Grade PTFE,Mechanical,TTC Gold,6,2,No,Notched Wheel,Yes,No
Razer Viper 8KHz,2021,6.1,9.2,8.4,9.7,Razer,Matte,127.0,66.0,38.0,62.0,True Ambidextrous,Yes,No,69.78,Centered,Wired,No Batteries,Wired,1.8,Virgin Grade PTFE,Optical,Razer Optical Mouse Switch Gen 2,8,4,Yes,Notched Wheel,Yes,No
Endgame Gear XM1r,2021,6.3,9.2,7.8,9.6,Endgame Gear,Glossy,122.0,66.0,38.0,61.0,Shape Only,Yes,No,68.64,Centered,Wired,No Batteries,Wired,1.9,Virgin Grade PTFE,Mechanical,Kailh GM 8.0,6,2,No,Notched Wheel,Yes,No
Logitech ERGO M575,2020,6.7,6.2,5.9,5.3,Logitech,Matte,135.2,98.9,45.5,66.0,No,No,Pinky,157.55,Centered,2,1x AA,Wireless,,Plastic,Mechanical,Not Specified,5,0,No,Notched Wheel,Yes,Yes
Logitech MX Master,2018,9.0,7.2,7.3,6.6,Logitech,Matte,126.0,86.0,49.0,61.0,No,No,Thumb,148.32,Centered,3,Rechargeable,Wireless,1.25,PTFE,Mechanical,Not Specified,8,3,No,Notched Wheel + Free Wheel,Yes,Yes
Corsair SCIMITAR RGB ELITE,2020,7.0,8.1,8.8,8.9,Corsair,Matte,119.3,76.1,42.0,65.0,No,No,Pinky,107.55,Centered,Wired,No Batteries,Wired,1.9,PTFE,Mechanical,Omron D2FC-F-K,17,12,Yes,Notched Wheel,Yes,Yes
ROCCAT Kone Pro,2021,6.7,9.3,8.3,9.6,ROCCAT,Matte,125.6,72.1,39.9,66.0,No,No,Thumb,62.22,Centered,Wired,No Batteries,Wired,1.8,Virgin Grade PTFE,Optical,TITAN Switch Optical,6,2,Yes,Notched Wheel,Yes,No
